sample ID	type	age	_sample_id	_calour_original_abundance
SRR1212548	HC	child	SRR1212548	5126.0
SRR1211489	disease	child	SRR1211489	7263.0
SRR1211514	HC	child	SRR1211514	4703.0
SRR1212690	disease	child	SRR1212690	18079.0
SRR1213812	HC	child	SRR1213812	23453.0
SRR1213918	disease	child	SRR1213918	23298.0
SRR1213931	disease	child	SRR1213931	17709.0
SRR1212841	disease	child	SRR1212841	18471.0
SRR1212636	HC	child	SRR1212636	15165.0
SRR1214074	HC	child	SRR1214074	22790.0
SRR1213972	HC	child	SRR1213972	49675.0
SRR1214237	disease	child	SRR1214237	23072.0
SRR1214112	HC	child	SRR1214112	19044.0
SRR1215007	disease	child	SRR1215007	31512.0
SRR1215305	HC	child	SRR1215305	28560.0
SRR1214303	HC	child	SRR1214303	21755.0
SRR1214224	HC	child	SRR1214224	31512.0
SRR1214322	disease	child	SRR1214322	12910.0
SRR1533962	HC	child	SRR1533962	8542.0
SRR1214552	disease	child	SRR1214552	20109.0
SRR1566404	disease	child	SRR1566404	6301.0
SRR1566407	disease	child	SRR1566407	11765.0
SRR1566408	HC	child	SRR1566408	26370.0
SRR1533966	HC	child	SRR1533966	23203.0
SRR1564985	HC	child	SRR1564985	23849.0
SRR1566450	disease	child	SRR1566450	5960.0
SRR1566548	disease	child	SRR1566548	16769.0
SRR1533981	disease	child	SRR1533981	21945.0
SRR1567149	HC	child	SRR1567149	13192.0
SRR1565199	HC	child	SRR1565199	86518.0
SRR1567163	HC	child	SRR1567163	22768.0
SRR1567515	disease	child	SRR1567515	9961.0
SRR1533988	HC	child	SRR1533988	142001.0
SRR1567532	HC	child	SRR1567532	6342.0
SRR1567284	disease	child	SRR1567284	6657.0
SRR1567292	disease	child	SRR1567292	8370.0
SRR1567588	disease	child	SRR1567588	7655.0
SRR1534005	HC	child	SRR1534005	55704.0
SRR1567756	disease	child	SRR1567756	4109.0
SRR1635653	HC	child	SRR1635653	31631.0
SRR1567761	HC	child	SRR1567761	9176.0
SRR1567655	disease	child	SRR1567655	12632.0
SRR1635767	disease	child	SRR1635767	17482.0
SRR1567773	HC	child	SRR1567773	9082.0
SRR1567723	disease	child	SRR1567723	17603.0
SRR1567731	disease	child	SRR1567731	21066.0
