sample ID	type	age	_sample_id	_calour_original_abundance
SRR1212791	HC	child	SRR1212791	28813.0
SRR1212662	HC	child	SRR1212662	14455.0
SRR1212826	disease	child	SRR1212826	20784.0
SRR1211722	HC	child	SRR1211722	1877.0
SRR1212241	disease	child	SRR1212241	1839.0
SRR1213841	HC	child	SRR1213841	66367.0
SRR1212773	disease	child	SRR1212773	19850.0
SRR1213972	HC	child	SRR1213972	49675.0
SRR1214097	HC	child	SRR1214097	99095.0
SRR1214257	disease	child	SRR1214257	21517.0
SRR1214022	HC	child	SRR1214022	30298.0
SRR1214274	disease	child	SRR1214274	20155.0
SRR1215288	disease	child	SRR1215288	23049.0
SRR1215301	HC	child	SRR1215301	13702.0
SRR1214291	HC	child	SRR1214291	2984.0
SRR1215305	HC	child	SRR1215305	28560.0
SRR1215331	disease	child	SRR1215331	14900.0
SRR1214399	HC	child	SRR1214399	81533.0
SRR1214303	HC	child	SRR1214303	21755.0
SRR1214173	disease	child	SRR1214173	31279.0
SRR1533962	HC	child	SRR1533962	8542.0
SRR1533846	disease	child	SRR1533846	15535.0
SRR1534021	disease	child	SRR1534021	29431.0
SRR1534026	disease	child	SRR1534026	38264.0
SRR1566407	disease	child	SRR1566407	11765.0
SRR1533922	disease	child	SRR1533922	183068.0
SRR1533964	HC	child	SRR1533964	95954.0
SRR1564985	HC	child	SRR1564985	23849.0
SRR1566511	disease	child	SRR1566511	10792.0
SRR1566470	HC	child	SRR1566470	21648.0
SRR1533977	disease	child	SRR1533977	33710.0
SRR1566487	disease	child	SRR1566487	38802.0
SRR1566491	disease	child	SRR1566491	5435.0
SRR1567149	HC	child	SRR1567149	13192.0
SRR1533987	HC	child	SRR1533987	33034.0
SRR1567211	disease	child	SRR1567211	54471.0
SRR1567225	HC	child	SRR1567225	14374.0
SRR1567532	HC	child	SRR1567532	6342.0
SRR1567243	disease	child	SRR1567243	4870.0
SRR1567598	disease	child	SRR1567598	9336.0
SRR1567658	disease	child	SRR1567658	7516.0
SRR1574271	HC	child	SRR1574271	10408.0
SRR1534008	HC	child	SRR1534008	44155.0
SRR1635716	HC	child	SRR1635716	18899.0
SRR1567772	disease	child	SRR1567772	7275.0
SRR1567731	disease	child	SRR1567731	21066.0
